PENSION GARANTIZADA UNIVERSAL (PGU);;;;;;;;
oct-24;;;;;;;;
(Número y Monto en miles de $);;;;;;;;
;;;;;;;;
Región;Cód. Comuna;Glosa Comuna;Nº Hombre;Monto m$ Hombre;Nº Mujer;Monto m$ Mujer;Total Nº;Total Mto. m$
9;9210;TRAIGUEN;1.272;270.050;1.714;361.277;2.986;631.328
9;9211;VICTORIA;2.191;465.745;3.177;673.911;5.368;1.139.657
14;14101;VALDIVIA;8.063;1.690.808;12.032;2.533.774;20.095;4.224.582
14;14102;CORRAL;345;73.292;392;83.069;737;156.362
14;14103;LANCO;1.071;228.027;1.436;306.349;2.507;534.376
14;14104;LOS LAGOS;1.233;262.258;1.539;326.676;2.772;588.934
14;14105;MAFIL;453;95.720;535;114.015;988;209.735
14;14106;SAN JOSE DE LA MARIQUINA;1.308;277.996;1.420;300.969;2.728;578.965
14;14107;PAILLACO;1.315;279.897;1.787;379.244;3.102;659.142
14;14108;PANGUIPULLI;2.140;453.707;2.715;573.166;4.855;1.026.873
14;14201;LA UNION;2.549;540.152;3.216;682.110;5.765;1.222.262
14;14202;FUTRONO;860;183.566;1.077;227.646;1.937;411.212
14;14203;LAGO RANCO;728;155.156;804;171.502;1.532;326.657
14;14204;RIO BUENO;2.058;437.604;2.771;588.623;4.829;1.026.228
10;10101;PUERTO MONTT;10.253;2.160.928;13.884;2.935.964;24.137;5.096.893
10;10102;CALBUCO;2.188;465.697;2.531;538.268;4.719;1.003.965
10;10103;COCHAMO;368;78.250;367;78.412;735;156.661
10;10104;FRESIA;765;162.808;1.043;219.688;1.808;382.496
10;10105;FRUTILLAR;1.045;221.757;1.330;282.349;2.375;504.106
10;10106;LOS MUERMOS;1.339;285.941;1.439;305.931;2.778;591.872
10;10107;LLANQUIHUE;946;199.226;1.304;276.715;2.250;475.941
10;10108;MAULLIN;1.257;268.165;1.361;289.564;2.618;557.728
10;10109;PUERTO VARAS;1.869;386.932;2.699;570.963;4.568;957.896
10;10201;CASTRO;2.256;477.877;3.138;663.607;5.394;1.141.484
10;10202;ANCUD;2.586;549.308;3.277;696.449;5.863;1.245.758
