PENSION GARANTIZADA UNIVERSAL (PGU);;;;;;;;;;;;;;;;;;;;;
dic-24;;;;;;;;;;;;;;;;;;;;;
(Número y Monto en miles de $);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Región;Cód. Comuna;Glosa Comuna;Nº Hombre;Monto m$ Hombre;Nº Mujer;Monto m$ Mujer;Total Nº;Total Mto. m$;;;;;;;;;;;;;
5;5605;EL TABO;209;44.788;480;102.862;689;147.650;1.088;223.533;1.058;222.044;2.146;445.576;1.297;268.320;1.538;324.906;2.835;593.226;
5;5606;SANTO DOMINGO;73;15.644;283;60.341;356;75.984;553;114.540;516;107.240;1.069;221.780;626;130.183;799;167.581;1.425;297.764;
5;5701;SAN FELIPE;522;111.799;1.226;261.334;1.748;373.133;3.627;757.214;4.056;853.980;7.683;1.611.194;4.149;869.013;5.282;1.115.314;9.431;1.984.327;
5;5702;CATEMU;197;42.216;418;89.367;615;131.584;752;158.556;642;136.800;1.394;295.356;949;200.772;1.060;226.168;2.009;426.940;
5;5703;LLAY-LLAY;263;56.199;543;115.612;806;171.810;1.286;269.505;1.319;280.850;2.605;550.355;1.549;325.703;1.862;396.462;3.411;722.165;
5;5704;PANQUEHUE;31;6.643;144;30.298;175;36.941;407;86.036;289;61.741;696;147.777;438;92.679;433;92.039;871;184.717;
5;5705;PUTAENDO;263;56.360;409;87.458;672;143.818;803;169.060;894;188.298;1.697;357.358;1.066;225.420;1.303;275.756;2.369;501.176;
5;5706;SANTA MARIA;120;25.716;298;63.860;418;89.576;780;165.834;696;148.528;1.476;314.361;900;191.549;994;212.388;1.894;403.937;
5;5801;QUILPUE;1.144;244.206;3.995;853.669;5.139;1.097.875;6.866;1.405.668;9.073;1.902.660;15.939;3.308.328;8.010;1.649.874;13.068;2.756.328;21.078;4.406.202;
5;5802;LIMACHE;507;108.600;1.210;258.917;1.717;367.516;2.159;446.548;2.571;543.312;4.730;989.860;2.666;555.148;3.781;802.229;6.447;1.357.377;
5;5803;OLMUE;252;53.965;570;122.149;822;176.113;916;187.813;910;191.813;1.826;379.626;1.168;241.778;1.480;313.961;2.648;555.739;
